__run_id,__done,ocr_library,document_type,dataset,sample_size,language,energy,runtime,memory,run_id,cpu_usage_percent
run_4_repetition_3,DONE,paddle,Old_books_No_noise,Noisy_Dataset,1,eng,25.571762084960938,5.210888,4664356864,run_4_repetition_3,2.883598013647965
run_6_repetition_13,DONE,paddle,Book,Omni_Dataset,1,eng,339.31300354003906,17.615435,7666638848,run_6_repetition_13,41.57278732574648
run_10_repetition_26,DONE,paddle,notes,Omni_Dataset,1,eng,264.75733947753906,14.21228,7283863552,run_10_repetition_26,39.85238534334588
run_2_repetition_20,DONE,paddle,Old_books_Arabic,Noisy_Dataset,1,ara,537.9129791259766,26.424847,10593632256,run_2_repetition_20,43.02852113300295
run_11_repetition_6,DONE,paddle,notes,Omni_Dataset,20,eng,3973.6251068115234,164.07472,8053067776,run_11_repetition_6,55.88510290685579
run_7_repetition_6,DONE,paddle,Book,Omni_Dataset,20,eng,3684.5413970947266,155.67928,8293367808,run_7_repetition_6,55.88325406144827
run_9_repetition_10,TODO,paddle,Newspaper,Omni_Dataset,20,eng, , , ,run_9_repetition_10,36.561024846471085
run_8_repetition_15,DONE,paddle,Newspaper,Omni_Dataset,1,eng,965.5993499755859,51.83021,8900288512,run_8_repetition_15,33.67223115933353
run_27_repetition_23,DONE,tesseract,slides,Omni_Dataset,20,eng,165.81919860839844,10.006667,4551155712,run_27_repetition_23,11.710532270658474
run_1_repetition_18,DONE,paddle,Old_books_2noise,Noisy_Dataset,20,eng,5833.584625244141,262.30927,9034063872,run_1_repetition_18,46.75569830572705
run_7_repetition_17,DONE,paddle,Book,Omni_Dataset,20,eng,3655.6053314208984,154.27612,8161091584,run_7_repetition_17,55.65827802423132
run_19_repetition_23,DONE,tesseract,Old_books_No_noise,Noisy_Dataset,20,eng,4.6374969482421875,0.40343538,4233261056,run_19_repetition_23,13.25720526278019
run_20_repetition_21,DONE,tesseract,Book,Omni_Dataset,1,eng,22.649398803710938,1.2041497,4331130880,run_20_repetition_21,13.87862692028284
run_0_repetition_0,DONE,paddle,Old_books_2noise,Noisy_Dataset,1,eng,307.72454833984375,17.416233,6567768064,run_0_repetition_0,33.36973579529296
run_13_repetition_10,DONE,paddle,slides,Omni_Dataset,20,eng,3819.6055603027344,156.87143,7322521600,run_13_repetition_10,56.241362369981886
run_23_repetition_12,DONE,tesseract,Newspaper,Omni_Dataset,20,eng,3114.402618408203,148.44873,5200633856,run_23_repetition_12,13.67497826389648
run_0_repetition_14,DONE,paddle,Old_books_2noise,Noisy_Dataset,1,eng,305.0621032714844,17.216827,6452920320,run_0_repetition_14,33.94610892676494
run_9_repetition_16,TODO,paddle,Newspaper,Omni_Dataset,20,eng, , , ,run_9_repetition_16,36.12434823770917
run_5_repetition_5,DONE,paddle,Old_books_No_noise,Noisy_Dataset,20,eng,30.77288818359375,4.613953,4274528256,run_5_repetition_5,2.3084967827796934
run_8_repetition_9,DONE,paddle,Newspaper,Omni_Dataset,1,eng,1136.1029205322266,50.028984,8614817792,run_8_repetition_9,35.70452272217898
run_15_repetition_27,DONE,tesseract,Old_books_2noise,Noisy_Dataset,20,eng,322.024658203125,17.814922,4492206080,run_15_repetition_27,15.02767229276699
run_11_repetition_25,DONE,paddle,notes,Omni_Dataset,20,eng,3772.2062377929688,159.67358,8088363008,run_11_repetition_25,55.56229792751372
run_3_repetition_16,DONE,paddle,Old_books_Arabic,Noisy_Dataset,20,ara,9139.893020629883,396.97562,9570230272,run_3_repetition_16,51.05796688398176
run_10_repetition_4,DONE,paddle,notes,Omni_Dataset,1,eng,288.7895202636719,16.415808,4918685696,run_10_repetition_4,36.347540620714426
run_0_repetition_8,DONE,paddle,Old_books_2noise,Noisy_Dataset,1,eng,300.2593536376953,15.613588,4498079744,run_0_repetition_8,36.43023129832
run_7_repetition_12,DONE,paddle,Book,Omni_Dataset,20,eng,3840.9644470214844,157.87512,6317338624,run_7_repetition_12,56.19373968494149
run_21_repetition_27,DONE,tesseract,Book,Omni_Dataset,20,eng,309.1626281738281,14.00785,2420039680,run_21_repetition_27,13.526478269654843
run_8_repetition_3,DONE,paddle,Newspaper,Omni_Dataset,1,eng,1013.2664794921875,49.227924,6616469504,run_8_repetition_3,35.272055033293945
run_27_repetition_0,DONE,tesseract,slides,Omni_Dataset,20,eng,146.08421325683594,9.805653,2509467648,run_27_repetition_0,11.59650275403378
run_1_repetition_28,TODO,paddle,Old_books_2noise,Noisy_Dataset,20,eng, , , ,run_1_repetition_28,46.79271906783345
run_26_repetition_29,DONE,tesseract,slides,Omni_Dataset,1,eng,11.459365844726562,0.8029722,2311286784,run_26_repetition_29,12.961634327967962
run_5_repetition_28,DONE,paddle,Old_books_No_noise,Noisy_Dataset,20,eng,24.929855346679688,5.612209,2293129216,run_5_repetition_28,1.5223558823267618
run_24_repetition_10,DONE,tesseract,notes,Omni_Dataset,1,eng,13.2637939453125,0.80333406,2309079040,run_24_repetition_10,12.306134921809038
run_7_repetition_16,DONE,paddle,Book,Omni_Dataset,20,eng,3763.164337158203,154.27335,6467346432,run_7_repetition_16,56.23850731223937
run_0_repetition_5,DONE,paddle,Old_books_2noise,Noisy_Dataset,1,eng,300.55540466308594,17.016415,4531113984,run_0_repetition_5,33.734745358256085
run_9_repetition_3,DONE,paddle,Newspaper,Omni_Dataset,20,eng,18320.684356689453,770.31366,13623631872,run_9_repetition_3,41.9203233210252
run_5_repetition_4,DONE,paddle,Old_books_No_noise,Noisy_Dataset,20,eng,31.438018798828125,6.214058,2315476992,run_5_repetition_4,2.295283172166709
run_27_repetition_22,DONE,tesseract,slides,Omni_Dataset,20,eng,219.0729217529297,10.20668,2400129024,run_27_repetition_22,11.71488737947536
run_27_repetition_16,DONE,tesseract,slides,Omni_Dataset,20,eng,216.92706298828125,10.0063505,2449145856,run_27_repetition_16,11.695476070046425
run_15_repetition_14,DONE,tesseract,Old_books_2noise,Noisy_Dataset,20,eng,420.7789306640625,18.209082,2425446400,run_15_repetition_14,14.152045503098478
run_17_repetition_21,DONE,tesseract,Old_books_Arabic,Noisy_Dataset,20,ara,29.922088623046875,1.6034882,2302115840,run_17_repetition_21,9.555299538373948
run_3_repetition_11,DONE,paddle,Old_books_Arabic,Noisy_Dataset,20,ara,9963.070297241211,411.18762,9682788352,run_3_repetition_11,51.13159589508551
run_27_repetition_12,DONE,tesseract,slides,Omni_Dataset,20,eng,213.45208740234375,10.009907,2381144064,run_27_repetition_12,11.993307737203745
run_25_repetition_0,DONE,tesseract,notes,Omni_Dataset,20,eng,125.58894348144531,6.205502,2418114560,run_25_repetition_0,9.773459575392984
